id,animal,object,prompt
000001.png,shark,sneaker,a shark and a sneaker
000002.png,shark,sneaker,a shark and a sneaker
000003.png,shark,sneaker,a shark and a sneaker
000004.png,shark,sneaker,a shark and a sneaker
000005.png,shark,sneaker,a shark and a sneaker
000006.png,shark,sneaker,a shark and a sneaker
000007.png,shark,sneaker,a shark and a sneaker
000008.png,shark,sneaker,a shark and a sneaker
000009.png,shark,sneaker,a shark and a sneaker
000010.png,shark,sneaker,a shark and a sneaker
000011.png,shark,sneaker,a shark and a sneaker
000012.png,shark,sneaker,a shark and a sneaker
000013.png,shark,sneaker,a shark and a sneaker
000014.png,shark,sneaker,a shark and a sneaker
000015.png,shark,sneaker,a shark and a sneaker
000016.png,shark,sneaker,a shark and a sneaker
000017.png,shark,sneaker,a shark and a sneaker
000018.png,shark,sneaker,a shark and a sneaker
000019.png,shark,sneaker,a shark and a sneaker
000020.png,shark,sneaker,a shark and a sneaker
000021.png,shark,airplane,a shark and a airplane
000022.png,shark,airplane,a shark and a airplane
000023.png,shark,airplane,a shark and a airplane
000024.png,shark,airplane,a shark and a airplane
000025.png,shark,airplane,a shark and a airplane
000026.png,shark,airplane,a shark and a airplane
000027.png,shark,airplane,a shark and a airplane
000028.png,shark,airplane,a shark and a airplane
000029.png,shark,airplane,a shark and a airplane
000030.png,shark,airplane,a shark and a airplane
000031.png,shark,airplane,a shark and a airplane
000032.png,shark,airplane,a shark and a airplane
000033.png,shark,airplane,a shark and a airplane
000034.png,shark,airplane,a shark and a airplane
000035.png,shark,airplane,a shark and a airplane
000036.png,shark,airplane,a shark and a airplane
000037.png,shark,airplane,a shark and a airplane
000038.png,shark,airplane,a shark and a airplane
000039.png,shark,airplane,a shark and a airplane
000040.png,shark,airplane,a shark and a airplane
000041.png,shark,coffee cup,a shark and a coffee cup
000042.png,shark,coffee cup,a shark and a coffee cup
000043.png,shark,coffee cup,a shark and a coffee cup
000044.png,shark,coffee cup,a shark and a coffee cup
000045.png,shark,coffee cup,a shark and a coffee cup
000046.png,shark,coffee cup,a shark and a coffee cup
000047.png,shark,coffee cup,a shark and a coffee cup
000048.png,shark,coffee cup,a shark and a coffee cup
000049.png,shark,coffee cup,a shark and a coffee cup
000050.png,shark,coffee cup,a shark and a coffee cup
000051.png,shark,coffee cup,a shark and a coffee cup
000052.png,shark,coffee cup,a shark and a coffee cup
000053.png,shark,coffee cup,a shark and a coffee cup
000054.png,shark,coffee cup,a shark and a coffee cup
000055.png,shark,coffee cup,a shark and a coffee cup
000056.png,shark,coffee cup,a shark and a coffee cup
000057.png,shark,coffee cup,a shark and a coffee cup
000058.png,shark,coffee cup,a shark and a coffee cup
000059.png,shark,coffee cup,a shark and a coffee cup
000060.png,shark,coffee cup,a shark and a coffee cup
000061.png,shark,banana,a shark and a banana
000062.png,shark,banana,a shark and a banana
000063.png,shark,banana,a shark and a banana
000064.png,shark,banana,a shark and a banana
000065.png,shark,banana,a shark and a banana
000066.png,shark,banana,a shark and a banana
000067.png,shark,banana,a shark and a banana
000068.png,shark,banana,a shark and a banana
000069.png,shark,banana,a shark and a banana
000070.png,shark,banana,a shark and a banana
000071.png,shark,banana,a shark and a banana
000072.png,shark,banana,a shark and a banana
000073.png,shark,banana,a shark and a banana
000074.png,shark,banana,a shark and a banana
000075.png,shark,banana,a shark and a banana
000076.png,shark,banana,a shark and a banana
000077.png,shark,banana,a shark and a banana
000078.png,shark,banana,a shark and a banana
000079.png,shark,banana,a shark and a banana
000080.png,shark,banana,a shark and a banana
000081.png,shark,cactus,a shark and a cactus
000082.png,shark,cactus,a shark and a cactus
000083.png,shark,cactus,a shark and a cactus
000084.png,shark,cactus,a shark and a cactus
000085.png,shark,cactus,a shark and a cactus
000086.png,shark,cactus,a shark and a cactus
000087.png,shark,cactus,a shark and a cactus
000088.png,shark,cactus,a shark and a cactus
000089.png,shark,cactus,a shark and a cactus
000090.png,shark,cactus,a shark and a cactus
000091.png,shark,cactus,a shark and a cactus
000092.png,shark,cactus,a shark and a cactus
000093.png,shark,cactus,a shark and a cactus
000094.png,shark,cactus,a shark and a cactus
000095.png,shark,cactus,a shark and a cactus
000096.png,shark,cactus,a shark and a cactus
000097.png,shark,cactus,a shark and a cactus
000098.png,shark,cactus,a shark and a cactus
000099.png,shark,cactus,a shark and a cactus
000100.png,shark,cactus,a shark and a cactus
000101.png,shark,toilet,a shark and a toilet
000102.png,shark,toilet,a shark and a toilet
000103.png,shark,toilet,a shark and a toilet
000104.png,shark,toilet,a shark and a toilet
000105.png,shark,toilet,a shark and a toilet
000106.png,shark,toilet,a shark and a toilet
000107.png,shark,toilet,a shark and a toilet
000108.png,shark,toilet,a shark and a toilet
000109.png,shark,toilet,a shark and a toilet
000110.png,shark,toilet,a shark and a toilet
000111.png,shark,toilet,a shark and a toilet
000112.png,shark,toilet,a shark and a toilet
000113.png,shark,toilet,a shark and a toilet
000114.png,shark,toilet,a shark and a toilet
000115.png,shark,toilet,a shark and a toilet
000116.png,shark,toilet,a shark and a toilet
000117.png,shark,toilet,a shark and a toilet
000118.png,shark,toilet,a shark and a toilet
000119.png,shark,toilet,a shark and a toilet
000120.png,shark,toilet,a shark and a toilet
000121.png,shark,pizza,a shark and a pizza
000122.png,shark,pizza,a shark and a pizza
000123.png,shark,pizza,a shark and a pizza
000124.png,shark,pizza,a shark and a pizza
000125.png,shark,pizza,a shark and a pizza
