id,animal,object
000001.png,fish,chair
000002.png,fish,chair
000003.png,fish,chair
000004.png,fish,chair
000005.png,fish,chair
000006.png,cat,toilet
000007.png,cat,toilet
000008.png,cat,toilet
000009.png,cat,toilet
000010.png,cat,toilet
000011.png,cat,toilet
000012.png,cat,toilet
000013.png,cat,toilet
000014.png,monkey,car
000015.png,monkey,car
000016.png,monkey,car
000017.png,monkey,car
000018.png,monkey,car
000019.png,monkey,car
000020.png,monkey,car
000021.png,monkey,car
000022.png,monkey,car
000023.png,elephant,sneaker
000024.png,elephant,sneaker
000025.png,elephant,sneaker
000026.png,elephant,sneaker
000027.png,elephant,sneaker
000028.png,elephant,sneaker
000029.png,elephant,sneaker
000030.png,elephant,sneaker
000031.png,elephant,sneaker
000032.png,elephant,sneaker
000033.png,elephant,sneaker
000034.png,elephant,sneaker
000035.png,elephant,sneaker
000036.png,elephant,sneaker
000037.png,elephant,sneaker
000038.png,elephant,sneaker
000039.png,elephant,sneaker
000040.png,elephant,sneaker
000041.png,elephant,sneaker
000042.png,elephant,sneaker
000043.png,elephant,sneaker
000044.png,elephant,sneaker
000045.png,elephant,sneaker
000046.png,elephant,sneaker
000047.png,elephant,sneaker
000048.png,elephant,sneaker
000049.png,dog,coffee cup
000050.png,dog,coffee cup
000051.png,dog,coffee cup
000052.png,dog,coffee cup
000053.png,frog,drum
000054.png,frog,drum
000055.png,frog,drum
000056.png,frog,drum
000057.png,frog,drum
000058.png,frog,drum
000059.png,monkey,pizza
000060.png,monkey,pizza
000061.png,monkey,pizza
000062.png,monkey,pizza
000063.png,monkey,pizza
000064.png,monkey,pizza
000065.png,monkey,pizza
000066.png,monkey,pizza
000067.png,monkey,pizza
000068.png,monkey,pizza
000069.png,monkey,pizza
000070.png,monkey,pizza
000071.png,monkey,pizza
000072.png,monkey,pizza
000073.png,monkey,pizza
000074.png,monkey,pizza
000075.png,monkey,pizza
000076.png,monkey,pizza
000077.png,monkey,pizza
000078.png,monkey,pizza
000079.png,monkey,pizza
000080.png,monkey,pizza
000081.png,monkey,pizza
000082.png,monkey,pizza
000083.png,monkey,pizza
000084.png,monkey,pizza
000085.png,monkey,pizza
000086.png,monkey,pizza
000087.png,monkey,pizza
000088.png,monkey,pizza
000089.png,shark,sneaker
000090.png,shark,sneaker
000091.png,shark,sneaker
000092.png,shark,sneaker
000093.png,shark,sneaker
000094.png,shark,sneaker
000095.png,shark,sneaker
000096.png,shark,sneaker
000097.png,shark,sneaker
000098.png,shark,sneaker
000099.png,shark,sneaker
000100.png,shark,sneaker
000101.png,shark,sneaker
000102.png,shark,sneaker
000103.png,shark,sneaker
000104.png,shark,sneaker
000105.png,shark,sneaker
000106.png,shark,sneaker
000107.png,shark,sneaker
000108.png,shark,sneaker
000109.png,shark,sneaker
000110.png,shark,sneaker
000111.png,shark,sneaker
000112.png,shark,sneaker
000113.png,shark,sneaker
000114.png,shark,sneaker
000115.png,shark,sneaker
000116.png,shark,sneaker
000117.png,shark,sneaker
000118.png,shark,sneaker
000119.png,shark,sneaker
000120.png,shark,sneaker
000121.png,shark,sneaker
000122.png,shark,sneaker
000123.png,shark,sneaker
000124.png,shark,sneaker
000125.png,shark,sneaker
000126.png,shark,sneaker
000127.png,fish,chair
000128.png,fish,chair
000129.png,fish,chair
000130.png,fish,chair
000131.png,fish,chair
000132.png,fish,chair
000133.png,fish,chair
000134.png,fish,chair
000135.png,fish,chair
000136.png,fish,chair
000137.png,fish,chair
000138.png,fish,chair
000139.png,fish,chair
000140.png,fish,chair
000141.png,fish,chair
000142.png,fish,chair
000143.png,fish,chair
000144.png,fish,chair
000145.png,fish,chair
000146.png,fish,chair
000147.png,fish,chair
000148.png,fish,chair
000149.png,fish,chair
000150.png,cat,pizza
000151.png,cat,pizza
000152.png,cat,pizza
000153.png,cat,pizza
000154.png,cat,pizza
000155.png,cat,pizza
000156.png,cat,pizza
000157.png,cat,pizza
000158.png,cat,pizza
000159.png,cat,pizza
000160.png,cat,pizza
000161.png,cat,pizza
000162.png,cat,pizza
000163.png,cat,pizza
000164.png,cat,pizza
000165.png,cat,pizza
000166.png,cat,pizza
000167.png,cat,pizza
000168.png,cat,pizza
000169.png,cat,pizza
000170.png,cat,pizza
000171.png,cat,pizza
000172.png,cat,pizza
000173.png,cat,pizza
000174.png,cat,pizza
000175.png,cat,pizza
000176.png,cat,pizza
000177.png,shark,banana
000178.png,shark,banana
000179.png,shark,banana
000180.png,shark,banana
000181.png,shark,banana
000182.png,shark,banana
000183.png,shark,banana
000184.png,shark,banana
000185.png,shark,banana
000186.png,shark,banana
000187.png,shark,banana
000188.png,shark,banana
000189.png,shark,banana
000190.png,shark,banana
000191.png,shark,banana
000192.png,shark,banana
000193.png,shark,banana
000194.png,shark,banana
000195.png,shark,banana
000196.png,shark,airplane
000197.png,shark,airplane
000198.png,shark,airplane
000199.png,shark,airplane
000200.png,shark,airplane
000201.png,shark,airplane
000202.png,shark,airplane
000203.png,shark,airplane
000204.png,shark,airplane
000205.png,shark,airplane
000206.png,shark,airplane
000207.png,fish,cactus
000208.png,fish,cactus
000209.png,fish,cactus
000210.png,fish,cactus
000211.png,fish,cactus
000212.png,fish,cactus
000213.png,dog,drum
000214.png,dog,drum
000215.png,dog,drum
000216.png,dog,drum
000217.png,dog,drum
000218.png,dog,drum
000219.png,dog,drum
000220.png,dog,drum
000221.png,dog,drum
000222.png,elephant,cactus
000223.png,elephant,cactus
000224.png,elephant,cactus
000225.png,elephant,cactus
000226.png,elephant,cactus
000227.png,elephant,cactus
000228.png,elephant,cactus
000229.png,elephant,cactus
000230.png,elephant,cactus
000231.png,elephant,cactus
000232.png,elephant,cactus
